"","n0_j_bin","n0_y_bin","n0_a_bin","condition","0-162.5","162.5-325","325-487.5","487.5-650"
"138","87.5-131.25","37.5-50","25-50",3,0,0.207667731629393,0.792332268370607,0
"139","87.5-131.25","37.5-50","50-75",1,0.888318356867779,0.111681643132221,0,0
"140","87.5-131.25","37.5-50","50-75",2,0.00384615384615385,0.996153846153846,0,0
"141","87.5-131.25","37.5-50","50-75",3,0,0.00508905852417303,0.986641221374046,0.00826972010178117
"142","87.5-131.25","37.5-50","75-100",1,0.132472826086957,0.867527173913043,0,0
"143","87.5-131.25","37.5-50","75-100",2,0,0.999349381912817,0.000650618087182824,0
"144","87.5-131.25","37.5-50","75-100",3,0,0,0.756469807564698,0.243530192435302
"145","131.25-175","0-12.5","0-25",1,1,0,0,0
"146","131.25-175","0-12.5","0-25",2,0.993918918918919,0.00608108108108108,0,0
"147","131.25-175","0-12.5","0-25",3,0,0.840923268870867,0.159076731129133,0
"148","131.25-175","0-12.5","25-50",1,1,0,0,0
"149","131.25-175","0-12.5","25-50",2,0.585732984293194,0.414267015706806,0,0
"150","131.25-175","0-12.5","25-50",3,0,0.235855054036872,0.764144945963128,0
"151","131.25-175","0-12.5","50-75",1,0.979236436704622,0.0207635632953784,0,0
"152","131.25-175","0-12.5","50-75",2,0.020253164556962,0.979746835443038,0,0
"153","131.25-175","0-12.5","50-75",3,0,0.005273566249176,0.985497692814766,0.00922874093605801
"154","131.25-175","0-12.5","75-100",1,0.405968077723803,0.594031922276197,0,0
"155","131.25-175","0-12.5","75-100",2,0,1,0,0
"156","131.25-175","0-12.5","75-100",3,0,0,0.753103448275862,0.246896551724138
"157","131.25-175","12.5-25","0-25",1,1,0,0,0
"158","131.25-175","12.5-25","0-25",2,0.975347661188369,0.0246523388116308,0,0
"159","131.25-175","12.5-25","0-25",3,0,0.601116625310174,0.398883374689826,0
"160","131.25-175","12.5-25","25-50",1,1,0,0,0
"161","131.25-175","12.5-25","25-50",2,0.333118971061093,0.666881028938907,0,0
"162","131.25-175","12.5-25","25-50",3,0,0.0768229166666667,0.923177083333333,0
"163","131.25-175","12.5-25","50-75",1,0.946856772521063,0.0531432274789371,0,0
"164","131.25-175","12.5-25","50-75",2,0.00181268882175227,0.998187311178248,0,0
"165","131.25-175","12.5-25","50-75",3,0,0.000623052959501558,0.942679127725857,0.0566978193146417
"166","131.25-175","12.5-25","75-100",1,0.25,0.75,0,0
"167","131.25-175","12.5-25","75-100",2,0,1,0,0
"168","131.25-175","12.5-25","75-100",3,0,0,0.529974489795918,0.470025510204082
"169","131.25-175","25-37.5","0-25",1,1,0,0,0
"170","131.25-175","25-37.5","0-25",2,0.89375,0.10625,0,0
"171","131.25-175","25-37.5","0-25",3,0,0.313394018205462,0.686605981794538,0
"172","131.25-175","25-37.5","25-50",1,1,0,0,0
"173","131.25-175","25-37.5","25-50",2,0.171034482758621,0.828965517241379,0,0
"174","131.25-175","25-37.5","25-50",3,0,0.00967519004837595,0.986869384934347,0.00345542501727713
"175","131.25-175","25-37.5","50-75",1,0.887073863636364,0.112926136363636,0,0
"176","131.25-175","25-37.5","50-75",2,0,1,0,0
"177","131.25-175","25-37.5","50-75",3,0,0,0.809490084985836,0.190509915014164
"178","131.25-175","25-37.5","75-100",1,0.152,0.848,0,0
"179","131.25-175","25-37.5","75-100",2,0,0.99320652173913,0.00679347826086957,0
"180","131.25-175","25-37.5","75-100",3,0,0,0.249127704117237,0.750872295882763
"181","131.25-175","37.5-50","0-25",1,1,0,0,0
"182","131.25-175","37.5-50","0-25",2,0.74609375,0.25390625,0,0
"183","131.25-175","37.5-50","0-25",3,0,0.123899371069182,0.876100628930818,0
"184","131.25-175","37.5-50","25-50",1,1,0,0,0
"185","131.25-175","37.5-50","25-50",2,0.0683311432325887,0.931668856767411,0,0
"186","131.25-175","37.5-50","25-50",3,0,0.00136892539356605,0.9637234770705,0.0349075975359343
"187","131.25-175","37.5-50","50-75",1,0.822010869565217,0.177989130434783,0,0
"188","131.25-175","37.5-50","50-75",2,0,1,0,0
"189","131.25-175","37.5-50","50-75",3,0,0,0.570113314447592,0.429886685552408
"190","131.25-175","37.5-50","75-100",1,0.0769230769230769,0.923076923076923,0,0
"191","131.25-175","37.5-50","75-100",2,0,0.976825842696629,0.0231741573033708,0
"192","131.25-175","37.5-50","75-100",3,0,0,0.0787918581746553,0.921208141825345
