"","n0_a_bin","n0_j_bin","condition","decision","0-50","50-100","100-150","150-200"
"60","0-25","87.5-131.25",3,4,0.787913340935006,0.212086659064994,0,0
"61","0-25","87.5-131.25",3,5,0.794215795328142,0.205784204671858,0,0
"62","0-25","87.5-131.25",3,6,0.803827751196172,0.196172248803828,0,0
"63","0-25","87.5-131.25",3,7,0.741288278775079,0.258711721224921,0,0
"64","0-25","131.25-175",1,1,0.764705882352941,0.235294117647059,0,0
"65","0-25","131.25-175",1,2,0.756256800870511,0.243743199129489,0,0
"66","0-25","131.25-175",1,3,0.784883720930233,0.215116279069767,0,0
"67","0-25","131.25-175",1,4,0.781542056074766,0.218457943925234,0,0
"68","0-25","131.25-175",1,5,0.776842105263158,0.223157894736842,0,0
"69","0-25","131.25-175",1,6,0.789356984478936,0.210643015521064,0,0
"70","0-25","131.25-175",1,7,0.760139049826188,0.239860950173812,0,0
"71","0-25","131.25-175",2,1,0.754566210045662,0.245433789954338,0,0
"72","0-25","131.25-175",2,2,0.77132701421801,0.228672985781991,0,0
"73","0-25","131.25-175",2,3,0.78125,0.21875,0,0
"74","0-25","131.25-175",2,4,0.773049645390071,0.226950354609929,0,0
"75","0-25","131.25-175",2,5,0.773972602739726,0.226027397260274,0,0
"76","0-25","131.25-175",2,6,0.766590389016018,0.233409610983982,0,0
"77","0-25","131.25-175",2,7,0.750561797752809,0.249438202247191,0,0
"78","0-25","131.25-175",3,1,0.760683760683761,0.239316239316239,0,0
"79","0-25","131.25-175",3,2,0.777179763186222,0.222820236813778,0,0
"80","0-25","131.25-175",3,3,0.809684684684685,0.190315315315315,0,0
"81","0-25","131.25-175",3,4,0.800675675675676,0.199324324324324,0,0
"82","0-25","131.25-175",3,5,0.773950484391819,0.226049515608181,0,0
"83","0-25","131.25-175",3,6,0.769978401727862,0.230021598272138,0,0
"84","0-25","131.25-175",3,7,0.76741440377804,0.23258559622196,0,0
"85","25-50","0-43.75",1,1,0.294594594594595,0.705405405405405,0,0
"86","25-50","0-43.75",1,2,0.260989010989011,0.739010989010989,0,0
"87","25-50","0-43.75",1,3,0.288265306122449,0.711734693877551,0,0
"88","25-50","0-43.75",1,4,0.260309278350515,0.739690721649485,0,0
"89","25-50","0-43.75",1,5,0.258793969849246,0.741206030150754,0,0
"90","25-50","0-43.75",1,6,0.316091954022989,0.683908045977011,0,0
"91","25-50","0-43.75",1,7,0.261904761904762,0.738095238095238,0,0
"92","25-50","0-43.75",2,1,0.269230769230769,0.730769230769231,0,0
"93","25-50","0-43.75",2,2,0.31266149870801,0.68733850129199,0,0
"94","25-50","0-43.75",2,3,0.34,0.66,0,0
"95","25-50","0-43.75",2,4,0.308823529411765,0.691176470588235,0,0
"96","25-50","0-43.75",2,5,0.291208791208791,0.708791208791209,0,0
"97","25-50","0-43.75",2,6,0.217270194986072,0.782729805013928,0,0
"98","25-50","0-43.75",2,7,0.255813953488372,0.744186046511628,0,0
"99","25-50","0-43.75",3,1,0.253926701570681,0.746073298429319,0,0
"100","25-50","0-43.75",3,2,0.278947368421053,0.721052631578947,0,0
"101","25-50","0-43.75",3,3,0.346835443037975,0.653164556962025,0,0
"102","25-50","0-43.75",3,4,0.321329639889197,0.678670360110803,0,0
"103","25-50","0-43.75",3,5,0.307262569832402,0.692737430167598,0,0
"104","25-50","0-43.75",3,6,0.302030456852792,0.697969543147208,0,0
"105","25-50","0-43.75",3,7,0.266503667481663,0.733496332518337,0,0
"106","25-50","43.75-87.5",1,1,0.270693512304251,0.729306487695749,0,0
"107","25-50","43.75-87.5",1,2,0.297085201793722,0.702914798206278,0,0
"108","25-50","43.75-87.5",1,3,0.312284730195178,0.687715269804822,0,0
"109","25-50","43.75-87.5",1,4,0.265569917743831,0.734430082256169,0,0
"110","25-50","43.75-87.5",1,5,0.269320843091335,0.730679156908665,0,0
"111","25-50","43.75-87.5",1,6,0.273672055427252,0.726327944572748,0,0
"112","25-50","43.75-87.5",1,7,0.257078142695357,0.742921857304643,0,0
"113","25-50","43.75-87.5",2,1,0.301003344481605,0.698996655518395,0,0
"114","25-50","43.75-87.5",2,2,0.284090909090909,0.715909090909091,0,0
"115","25-50","43.75-87.5",2,3,0.350728155339806,0.649271844660194,0,0
"116","25-50","43.75-87.5",2,4,0.280721533258174,0.719278466741826,0,0
"117","25-50","43.75-87.5",2,5,0.273755656108597,0.726244343891403,0,0
"118","25-50","43.75-87.5",2,6,0.283732660781841,0.716267339218159,0,0
"119","25-50","43.75-87.5",2,7,0.229934924078091,0.770065075921909,0,0
"120","25-50","43.75-87.5",3,1,0.276442307692308,0.723557692307692,0,0
"121","25-50","43.75-87.5",3,2,0.296296296296296,0.703703703703704,0,0
"122","25-50","43.75-87.5",3,3,0.338785046728972,0.661214953271028,0,0
"123","25-50","43.75-87.5",3,4,0.281352235550709,0.718647764449291,0,0
"124","25-50","43.75-87.5",3,5,0.27292817679558,0.72707182320442,0,0
"125","25-50","43.75-87.5",3,6,0.260198456449835,0.739801543550165,0,0
"126","25-50","43.75-87.5",3,7,0.268856447688564,0.731143552311436,0,0
"127","25-50","87.5-131.25",1,1,0.280261723009815,0.719738276990185,0,0
"128","25-50","87.5-131.25",1,2,0.285388127853881,0.714611872146119,0,0
"129","25-50","87.5-131.25",1,3,0.321261682242991,0.678738317757009,0,0
"130","25-50","87.5-131.25",1,4,0.270574971815107,0.729425028184893,0,0
"131","25-50","87.5-131.25",1,5,0.258503401360544,0.741496598639456,0,0
"132","25-50","87.5-131.25",1,6,0.277777777777778,0.722222222222222,0,0
"133","25-50","87.5-131.25",1,7,0.258028792912514,0.741971207087486,0,0
"134","25-50","87.5-131.25",2,1,0.29125138427464,0.70874861572536,0,0
"135","25-50","87.5-131.25",2,2,0.276571428571429,0.723428571428571,0,0
"136","25-50","87.5-131.25",2,3,0.332953249714937,0.667046750285063,0,0
"137","25-50","87.5-131.25",2,4,0.29569266589057,0.70430733410943,0,0
"138","25-50","87.5-131.25",2,5,0.28175519630485,0.71824480369515,0,0
"139","25-50","87.5-131.25",2,6,0.294247787610619,0.705752212389381,0,0
"140","25-50","87.5-131.25",2,7,0.228989037758831,0.771010962241169,0,0
"141","25-50","87.5-131.25",3,1,0.279475982532751,0.720524017467249,0,0
"142","25-50","87.5-131.25",3,2,0.295429208472687,0.704570791527313,0,0
"143","25-50","87.5-131.25",3,3,0.306521739130435,0.693478260869565,0,0
"144","25-50","87.5-131.25",3,4,0.273672055427252,0.726327944572748,0,0
"145","25-50","87.5-131.25",3,5,0.29608938547486,0.70391061452514,0,0
"146","25-50","87.5-131.25",3,6,0.291079812206573,0.708920187793427,0,0
"147","25-50","87.5-131.25",3,7,0.255056179775281,0.744943820224719,0,0
"148","25-50","131.25-175",1,1,0.292418772563177,0.707581227436823,0,0
"149","25-50","131.25-175",1,2,0.277571251548947,0.722428748451053,0,0
"150","25-50","131.25-175",1,3,0.328235294117647,0.671764705882353,0,0
"151","25-50","131.25-175",1,4,0.303571428571429,0.696428571428571,0,0
"152","25-50","131.25-175",1,5,0.304550758459743,0.695449241540257,0,0
"153","25-50","131.25-175",1,6,0.268727705112961,0.731272294887039,0,0
"154","25-50","131.25-175",1,7,0.23094958968347,0.76905041031653,0,0
"155","25-50","131.25-175",2,1,0.281774580335731,0.718225419664269,0,0
"156","25-50","131.25-175",2,2,0.333333333333333,0.666666666666667,0,0
