"","n0_j_bin","n0_y_bin","n0_a_bin","condition","decision","0-162.5","162.5-325","325-487.5","487.5-650"
"120","0-43.75","12.5-25","25-50",3,1,0.292929292929293,0.707070707070707,0,0
"121","0-43.75","12.5-25","25-50",3,2,0.397959183673469,0.602040816326531,0,0
"122","0-43.75","12.5-25","25-50",3,3,0.425287356321839,0.574712643678161,0,0
"123","0-43.75","12.5-25","25-50",3,4,0.415730337078652,0.584269662921348,0,0
"124","0-43.75","12.5-25","25-50",3,5,0.28735632183908,0.71264367816092,0,0
"125","0-43.75","12.5-25","25-50",3,6,0.318181818181818,0.681818181818182,0,0
"126","0-43.75","12.5-25","25-50",3,7,0.263565891472868,0.736434108527132,0,0
"127","0-43.75","12.5-25","50-75",1,1,1,0,0,0
"128","0-43.75","12.5-25","50-75",1,2,1,0,0,0
"129","0-43.75","12.5-25","50-75",1,3,1,0,0,0
"130","0-43.75","12.5-25","50-75",1,4,1,0,0,0
"131","0-43.75","12.5-25","50-75",1,5,1,0,0,0
"132","0-43.75","12.5-25","50-75",1,6,1,0,0,0
"133","0-43.75","12.5-25","50-75",1,7,0.989010989010989,0.010989010989011,0,0
"134","0-43.75","12.5-25","50-75",2,1,0.855769230769231,0.144230769230769,0,0
"135","0-43.75","12.5-25","50-75",2,2,0.913978494623656,0.0860215053763441,0,0
"136","0-43.75","12.5-25","50-75",2,3,0.978947368421053,0.0210526315789474,0,0
"137","0-43.75","12.5-25","50-75",2,4,0.880434782608696,0.119565217391304,0,0
"138","0-43.75","12.5-25","50-75",2,5,0.8625,0.1375,0,0
"139","0-43.75","12.5-25","50-75",2,6,0.936170212765957,0.0638297872340425,0,0
"140","0-43.75","12.5-25","50-75",2,7,0.795454545454545,0.204545454545455,0,0
"141","0-43.75","12.5-25","50-75",3,1,0,1,0,0
"142","0-43.75","12.5-25","50-75",3,2,0,1,0,0
"143","0-43.75","12.5-25","50-75",3,3,0,1,0,0
"144","0-43.75","12.5-25","50-75",3,4,0,1,0,0
"145","0-43.75","12.5-25","50-75",3,5,0,1,0,0
"146","0-43.75","12.5-25","50-75",3,6,0.029126213592233,0.970873786407767,0,0
"147","0-43.75","12.5-25","50-75",3,7,0,1,0,0
"148","0-43.75","12.5-25","75-100",1,1,0.771739130434783,0.228260869565217,0,0
"149","0-43.75","12.5-25","75-100",1,2,0.843137254901961,0.156862745098039,0,0
"150","0-43.75","12.5-25","75-100",1,3,0.927927927927928,0.0720720720720721,0,0
"151","0-43.75","12.5-25","75-100",1,4,0.738636363636364,0.261363636363636,0,0
"152","0-43.75","12.5-25","75-100",1,5,0.733333333333333,0.266666666666667,0,0
"153","0-43.75","12.5-25","75-100",1,6,0.759036144578313,0.240963855421687,0,0
"154","0-43.75","12.5-25","75-100",1,7,0.683673469387755,0.316326530612245,0,0
"155","0-43.75","12.5-25","75-100",2,1,0.117647058823529,0.882352941176471,0,0
"156","0-43.75","12.5-25","75-100",2,2,0.193548387096774,0.806451612903226,0,0
"157","0-43.75","12.5-25","75-100",2,3,0.454545454545455,0.545454545454545,0,0
"158","0-43.75","12.5-25","75-100",2,4,0.162162162162162,0.837837837837838,0,0
"159","0-43.75","12.5-25","75-100",2,5,0.159574468085106,0.840425531914894,0,0
"160","0-43.75","12.5-25","75-100",2,6,0.154639175257732,0.845360824742268,0,0
"161","0-43.75","12.5-25","75-100",2,7,0.0326086956521739,0.967391304347826,0,0
"162","0-43.75","12.5-25","75-100",3,1,0,0.972972972972973,0.027027027027027,0
"163","0-43.75","12.5-25","75-100",3,2,0,0.975903614457831,0.0240963855421687,0
"164","0-43.75","12.5-25","75-100",3,3,0,0.96875,0.03125,0
"165","0-43.75","12.5-25","75-100",3,4,0,0.906976744186046,0.0930232558139535,0
