"","n0_j_bin","n0_y_bin","n0_a_bin","condition","decision","mortalityType","0-162.5","162.5-325","325-487.5","487.5-650"
"168","0-43.75","0-12.5","75-100",3,7,2,0.144230769230769,0.855769230769231,0,0
"169","0-43.75","12.5-25","0-25",1,1,1,1,0,0,0
"170","0-43.75","12.5-25","0-25",1,1,2,1,0,0,0
"171","0-43.75","12.5-25","0-25",1,2,1,1,0,0,0
"172","0-43.75","12.5-25","0-25",1,2,2,1,0,0,0
"173","0-43.75","12.5-25","0-25",1,3,1,1,0,0,0
"174","0-43.75","12.5-25","0-25",1,3,2,1,0,0,0
"175","0-43.75","12.5-25","0-25",1,4,1,1,0,0,0
"176","0-43.75","12.5-25","0-25",1,4,2,1,0,0,0
"177","0-43.75","12.5-25","0-25",1,5,1,1,0,0,0
"178","0-43.75","12.5-25","0-25",1,5,2,1,0,0,0
"179","0-43.75","12.5-25","0-25",1,6,1,1,0,0,0
"180","0-43.75","12.5-25","0-25",1,6,2,1,0,0,0
"181","0-43.75","12.5-25","0-25",1,7,1,1,0,0,0
"182","0-43.75","12.5-25","0-25",1,7,2,1,0,0,0
"183","0-43.75","12.5-25","0-25",2,1,1,1,0,0,0
"184","0-43.75","12.5-25","0-25",2,1,2,1,0,0,0
"185","0-43.75","12.5-25","0-25",2,2,1,1,0,0,0
"186","0-43.75","12.5-25","0-25",2,2,2,1,0,0,0
"187","0-43.75","12.5-25","0-25",2,3,1,1,0,0,0
"188","0-43.75","12.5-25","0-25",2,3,2,1,0,0,0
"189","0-43.75","12.5-25","0-25",2,4,1,1,0,0,0
"190","0-43.75","12.5-25","0-25",2,4,2,1,0,0,0
"191","0-43.75","12.5-25","0-25",2,5,1,1,0,0,0
"192","0-43.75","12.5-25","0-25",2,5,2,1,0,0,0
"193","0-43.75","12.5-25","0-25",2,6,1,1,0,0,0
"194","0-43.75","12.5-25","0-25",2,6,2,1,0,0,0
"195","0-43.75","12.5-25","0-25",2,7,1,1,0,0,0
"196","0-43.75","12.5-25","0-25",2,7,2,1,0,0,0
"197","0-43.75","12.5-25","0-25",3,1,1,1,0,0,0
"198","0-43.75","12.5-25","0-25",3,1,2,1,0,0,0
"199","0-43.75","12.5-25","0-25",3,2,1,1,0,0,0
"200","0-43.75","12.5-25","0-25",3,2,2,1,0,0,0
"201","0-43.75","12.5-25","0-25",3,3,1,1,0,0,0
"202","0-43.75","12.5-25","0-25",3,3,2,1,0,0,0
"203","0-43.75","12.5-25","0-25",3,4,1,1,0,0,0
"204","0-43.75","12.5-25","0-25",3,4,2,1,0,0,0
"205","0-43.75","12.5-25","0-25",3,5,1,1,0,0,0
"206","0-43.75","12.5-25","0-25",3,5,2,1,0,0,0
"207","0-43.75","12.5-25","0-25",3,6,1,1,0,0,0
"208","0-43.75","12.5-25","0-25",3,6,2,1,0,0,0
"209","0-43.75","12.5-25","0-25",3,7,1,1,0,0,0
"210","0-43.75","12.5-25","0-25",3,7,2,1,0,0,0
"211","0-43.75","12.5-25","25-50",1,1,1,1,0,0,0
"212","0-43.75","12.5-25","25-50",1,1,2,1,0,0,0
"213","0-43.75","12.5-25","25-50",1,2,1,1,0,0,0
"214","0-43.75","12.5-25","25-50",1,2,2,1,0,0,0
"215","0-43.75","12.5-25","25-50",1,3,1,1,0,0,0
"216","0-43.75","12.5-25","25-50",1,3,2,1,0,0,0
"217","0-43.75","12.5-25","25-50",1,4,1,1,0,0,0
"218","0-43.75","12.5-25","25-50",1,4,2,1,0,0,0
"219","0-43.75","12.5-25","25-50",1,5,1,1,0,0,0
"220","0-43.75","12.5-25","25-50",1,5,2,1,0,0,0
"221","0-43.75","12.5-25","25-50",1,6,1,1,0,0,0
"222","0-43.75","12.5-25","25-50",1,6,2,1,0,0,0
"223","0-43.75","12.5-25","25-50",1,7,1,1,0,0,0
"224","0-43.75","12.5-25","25-50",1,7,2,1,0,0,0
"225","0-43.75","12.5-25","25-50",2,1,1,1,0,0,0
"226","0-43.75","12.5-25","25-50",2,1,2,1,0,0,0
"227","0-43.75","12.5-25","25-50",2,2,1,1,0,0,0
"228","0-43.75","12.5-25","25-50",2,2,2,1,0,0,0
"229","0-43.75","12.5-25","25-50",2,3,1,1,0,0,0
"230","0-43.75","12.5-25","25-50",2,3,2,1,0,0,0
"231","0-43.75","12.5-25","25-50",2,4,1,1,0,0,0
"232","0-43.75","12.5-25","25-50",2,4,2,1,0,0,0
"233","0-43.75","12.5-25","25-50",2,5,1,1,0,0,0
"234","0-43.75","12.5-25","25-50",2,5,2,1,0,0,0
"235","0-43.75","12.5-25","25-50",2,6,1,1,0,0,0
"236","0-43.75","12.5-25","25-50",2,6,2,1,0,0,0
"237","0-43.75","12.5-25","25-50",2,7,1,1,0,0,0
"238","0-43.75","12.5-25","25-50",2,7,2,1,0,0,0
"239","0-43.75","12.5-25","25-50",3,1,1,0.981818181818182,0.0181818181818182,0,0
"240","0-43.75","12.5-25","25-50",3,1,2,0.974137931034483,0.0258620689655172,0,0
"241","0-43.75","12.5-25","25-50",3,2,1,1,0,0,0
"242","0-43.75","12.5-25","25-50",3,2,2,0.964601769911504,0.0353982300884956,0,0
"243","0-43.75","12.5-25","25-50",3,3,1,1,0,0,0
"244","0-43.75","12.5-25","25-50",3,3,2,0.981481481481482,0.0185185185185185,0,0
"245","0-43.75","12.5-25","25-50",3,4,1,1,0,0,0
"246","0-43.75","12.5-25","25-50",3,4,2,0.979166666666667,0.0208333333333333,0,0
"247","0-43.75","12.5-25","25-50",3,5,1,1,0,0,0
"248","0-43.75","12.5-25","25-50",3,5,2,0.989247311827957,0.010752688172043,0,0
"249","0-43.75","12.5-25","25-50",3,6,1,1,0,0,0
"250","0-43.75","12.5-25","25-50",3,6,2,0.98,0.02,0,0
"251","0-43.75","12.5-25","25-50",3,7,1,0.986301369863014,0.0136986301369863,0,0
"252","0-43.75","12.5-25","25-50",3,7,2,0.98989898989899,0.0101010101010101,0,0
"253","0-43.75","12.5-25","50-75",1,1,1,1,0,0,0
"254","0-43.75","12.5-25","50-75",1,1,2,1,0,0,0
"255","0-43.75","12.5-25","50-75",1,2,1,1,0,0,0
"256","0-43.75","12.5-25","50-75",1,2,2,1,0,0,0
"257","0-43.75","12.5-25","50-75",1,3,1,1,0,0,0
"258","0-43.75","12.5-25","50-75",1,3,2,1,0,0,0
"259","0-43.75","12.5-25","50-75",1,4,1,1,0,0,0
"260","0-43.75","12.5-25","50-75",1,4,2,1,0,0,0
"261","0-43.75","12.5-25","50-75",1,5,1,1,0,0,0
"262","0-43.75","12.5-25","50-75",1,5,2,1,0,0,0
"263","0-43.75","12.5-25","50-75",1,6,1,1,0,0,0
"264","0-43.75","12.5-25","50-75",1,6,2,1,0,0,0
"265","0-43.75","12.5-25","50-75",1,7,1,1,0,0,0
"266","0-43.75","12.5-25","50-75",1,7,2,1,0,0,0
"267","0-43.75","12.5-25","50-75",2,1,1,1,0,0,0
"268","0-43.75","12.5-25","50-75",2,1,2,1,0,0,0
"269","0-43.75","12.5-25","50-75",2,2,1,1,0,0,0
"270","0-43.75","12.5-25","50-75",2,2,2,1,0,0,0
"271","0-43.75","12.5-25","50-75",2,3,1,1,0,0,0
"272","0-43.75","12.5-25","50-75",2,3,2,1,0,0,0
"273","0-43.75","12.5-25","50-75",2,4,1,1,0,0,0
"274","0-43.75","12.5-25","50-75",2,4,2,1,0,0,0
"275","0-43.75","12.5-25","50-75",2,5,1,1,0,0,0
"276","0-43.75","12.5-25","50-75",2,5,2,1,0,0,0
"277","0-43.75","12.5-25","50-75",2,6,1,1,0,0,0
"278","0-43.75","12.5-25","50-75",2,6,2,1,0,0,0
"279","0-43.75","12.5-25","50-75",2,7,1,1,0,0,0
"280","0-43.75","12.5-25","50-75",2,7,2,1,0,0,0
"281","0-43.75","12.5-25","50-75",3,1,1,0.541666666666667,0.458333333333333,0,0
"282","0-43.75","12.5-25","50-75",3,1,2,0.49,0.51,0,0
"283","0-43.75","12.5-25","50-75",3,2,1,0.625,0.375,0,0
"284","0-43.75","12.5-25","50-75",3,2,2,0.488888888888889,0.511111111111111,0,0
"285","0-43.75","12.5-25","50-75",3,3,1,0.597701149425287,0.402298850574713,0,0
"286","0-43.75","12.5-25","50-75",3,3,2,0.53,0.47,0,0
"287","0-43.75","12.5-25","50-75",3,4,1,0.711538461538462,0.288461538461538,0,0
"288","0-43.75","12.5-25","50-75",3,4,2,0.533333333333333,0.466666666666667,0,0
"289","0-43.75","12.5-25","50-75",3,5,1,0.82,0.18,0,0
"290","0-43.75","12.5-25","50-75",3,5,2,0.555555555555556,0.444444444444444,0,0
"291","0-43.75","12.5-25","50-75",3,6,1,0.934065934065934,0.0659340659340659,0,0
"292","0-43.75","12.5-25","50-75",3,6,2,0.567307692307692,0.432692307692308,0,0
"293","0-43.75","12.5-25","50-75",3,7,1,0.596153846153846,0.403846153846154,0,0
"294","0-43.75","12.5-25","50-75",3,7,2,0.577319587628866,0.422680412371134,0,0
"295","0-43.75","12.5-25","75-100",1,1,1,1,0,0,0
"296","0-43.75","12.5-25","75-100",1,1,2,1,0,0,0
"297","0-43.75","12.5-25","75-100",1,2,1,1,0,0,0
"298","0-43.75","12.5-25","75-100",1,2,2,1,0,0,0
"299","0-43.75","12.5-25","75-100",1,3,1,1,0,0,0
"300","0-43.75","12.5-25","75-100",1,3,2,1,0,0,0
"301","0-43.75","12.5-25","75-100",1,4,1,1,0,0,0
"302","0-43.75","12.5-25","75-100",1,4,2,1,0,0,0
"303","0-43.75","12.5-25","75-100",1,5,1,1,0,0,0
"304","0-43.75","12.5-25","75-100",1,5,2,1,0,0,0
"305","0-43.75","12.5-25","75-100",1,6,1,1,0,0,0
"306","0-43.75","12.5-25","75-100",1,6,2,1,0,0,0
"307","0-43.75","12.5-25","75-100",1,7,1,1,0,0,0
"308","0-43.75","12.5-25","75-100",1,7,2,1,0,0,0
"309","0-43.75","12.5-25","75-100",2,1,1,1,0,0,0
"310","0-43.75","12.5-25","75-100",2,1,2,1,0,0,0
"311","0-43.75","12.5-25","75-100",2,2,1,1,0,0,0
"312","0-43.75","12.5-25","75-100",2,2,2,1,0,0,0
"313","0-43.75","12.5-25","75-100",2,3,1,1,0,0,0
"314","0-43.75","12.5-25","75-100",2,3,2,1,0,0,0
"315","0-43.75","12.5-25","75-100",2,4,1,1,0,0,0
"316","0-43.75","12.5-25","75-100",2,4,2,1,0,0,0
"317","0-43.75","12.5-25","75-100",2,5,1,1,0,0,0
"318","0-43.75","12.5-25","75-100",2,5,2,1,0,0,0
"319","0-43.75","12.5-25","75-100",2,6,1,1,0,0,0
"320","0-43.75","12.5-25","75-100",2,6,2,1,0,0,0
"321","0-43.75","12.5-25","75-100",2,7,1,1,0,0,0
"322","0-43.75","12.5-25","75-100",2,7,2,1,0,0,0
"323","0-43.75","12.5-25","75-100",3,1,1,0.0217391304347826,0.978260869565217,0,0
"324","0-43.75","12.5-25","75-100",3,1,2,0.106382978723404,0.893617021276596,0,0
"325","0-43.75","12.5-25","75-100",3,2,1,0.0851063829787234,0.914893617021277,0,0
"326","0-43.75","12.5-25","75-100",3,2,2,0.0615384615384615,0.938461538461538,0,0
"327","0-43.75","12.5-25","75-100",3,3,1,0.0392156862745098,0.96078431372549,0,0
"328","0-43.75","12.5-25","75-100",3,3,2,0.0769230769230769,0.923076923076923,0,0
"329","0-43.75","12.5-25","75-100",3,4,1,0.147727272727273,0.852272727272727,0,0
"330","0-43.75","12.5-25","75-100",3,4,2,0.0897435897435897,0.91025641025641,0,0
"331","0-43.75","12.5-25","75-100",3,5,1,0.302083333333333,0.697916666666667,0,0
"332","0-43.75","12.5-25","75-100",3,5,2,0.0505050505050505,0.94949494949495,0,0
"333","0-43.75","12.5-25","75-100",3,6,1,0.494845360824742,0.505154639175258,0,0
"334","0-43.75","12.5-25","75-100",3,6,2,0.0283018867924528,0.971698113207547,0,0
"335","0-43.75","12.5-25","75-100",3,7,1,0.0555555555555556,0.944444444444444,0,0
"336","0-43.75","12.5-25","75-100",3,7,2,0.0423728813559322,0.957627118644068,0,0
"337","0-43.75","25-37.5","0-25",1,1,1,1,0,0,0
"338","0-43.75","25-37.5","0-25",1,1,2,1,0,0,0
"339","0-43.75","25-37.5","0-25",1,2,1,1,0,0,0
"340","0-43.75","25-37.5","0-25",1,2,2,1,0,0,0
"341","0-43.75","25-37.5","0-25",1,3,1,1,0,0,0
"342","0-43.75","25-37.5","0-25",1,3,2,1,0,0,0
"343","0-43.75","25-37.5","0-25",1,4,1,1,0,0,0
"344","0-43.75","25-37.5","0-25",1,4,2,1,0,0,0
"345","0-43.75","25-37.5","0-25",1,5,1,1,0,0,0
"346","0-43.75","25-37.5","0-25",1,5,2,1,0,0,0
"347","0-43.75","25-37.5","0-25",1,6,1,1,0,0,0
"348","0-43.75","25-37.5","0-25",1,6,2,1,0,0,0
"349","0-43.75","25-37.5","0-25",1,7,1,1,0,0,0
"350","0-43.75","25-37.5","0-25",1,7,2,1,0,0,0
"351","0-43.75","25-37.5","0-25",2,1,1,1,0,0,0
"352","0-43.75","25-37.5","0-25",2,1,2,1,0,0,0
"353","0-43.75","25-37.5","0-25",2,2,1,1,0,0,0
"354","0-43.75","25-37.5","0-25",2,2,2,1,0,0,0
"355","0-43.75","25-37.5","0-25",2,3,1,1,0,0,0
"356","0-43.75","25-37.5","0-25",2,3,2,1,0,0,0
"357","0-43.75","25-37.5","0-25",2,4,1,1,0,0,0
"358","0-43.75","25-37.5","0-25",2,4,2,1,0,0,0
"359","0-43.75","25-37.5","0-25",2,5,1,1,0,0,0
"360","0-43.75","25-37.5","0-25",2,5,2,1,0,0,0
"361","0-43.75","25-37.5","0-25",2,6,1,1,0,0,0
"362","0-43.75","25-37.5","0-25",2,6,2,1,0,0,0
"363","0-43.75","25-37.5","0-25",2,7,1,1,0,0,0
"364","0-43.75","25-37.5","0-25",2,7,2,1,0,0,0
"365","0-43.75","25-37.5","0-25",3,1,1,1,0,0,0
"366","0-43.75","25-37.5","0-25",3,1,2,1,0,0,0
"367","0-43.75","25-37.5","0-25",3,2,1,1,0,0,0
"368","0-43.75","25-37.5","0-25",3,2,2,1,0,0,0
"369","0-43.75","25-37.5","0-25",3,3,1,1,0,0,0
"370","0-43.75","25-37.5","0-25",3,3,2,1,0,0,0
"371","0-43.75","25-37.5","0-25",3,4,1,1,0,0,0
"372","0-43.75","25-37.5","0-25",3,4,2,1,0,0,0
"373","0-43.75","25-37.5","0-25",3,5,1,1,0,0,0
"374","0-43.75","25-37.5","0-25",3,5,2,1,0,0,0
"375","0-43.75","25-37.5","0-25",3,6,1,1,0,0,0
"376","0-43.75","25-37.5","0-25",3,6,2,1,0,0,0
"377","0-43.75","25-37.5","0-25",3,7,1,1,0,0,0
"378","0-43.75","25-37.5","0-25",3,7,2,1,0,0,0
"379","0-43.75","25-37.5","25-50",1,1,1,1,0,0,0
"380","0-43.75","25-37.5","25-50",1,1,2,1,0,0,0
"381","0-43.75","25-37.5","25-50",1,2,1,1,0,0,0
"382","0-43.75","25-37.5","25-50",1,2,2,1,0,0,0
"383","0-43.75","25-37.5","25-50",1,3,1,1,0,0,0
"384","0-43.75","25-37.5","25-50",1,3,2,1,0,0,0
"385","0-43.75","25-37.5","25-50",1,4,1,1,0,0,0
"386","0-43.75","25-37.5","25-50",1,4,2,1,0,0,0
"387","0-43.75","25-37.5","25-50",1,5,1,1,0,0,0
"388","0-43.75","25-37.5","25-50",1,5,2,1,0,0,0
"389","0-43.75","25-37.5","25-50",1,6,1,1,0,0,0
"390","0-43.75","25-37.5","25-50",1,6,2,1,0,0,0
"391","0-43.75","25-37.5","25-50",1,7,1,1,0,0,0
"392","0-43.75","25-37.5","25-50",1,7,2,1,0,0,0
"393","0-43.75","25-37.5","25-50",2,1,1,1,0,0,0
"394","0-43.75","25-37.5","25-50",2,1,2,1,0,0,0
"395","0-43.75","25-37.5","25-50",2,2,1,1,0,0,0
