"","n0_a_bin","n0_j_bin","condition","decision","mortalityType","0-50","50-100","100-150","150-200"
"171","25-50","0-43.75",1,2,1,0.997005988023952,0.0029940119760479,0,0
"172","25-50","0-43.75",1,2,2,1,0,0,0
"173","25-50","0-43.75",1,3,1,0.997275204359673,0.00272479564032698,0,0
"174","25-50","0-43.75",1,3,2,1,0,0,0
"175","25-50","0-43.75",1,4,1,0.997402597402597,0.0025974025974026,0,0
"176","25-50","0-43.75",1,4,2,1,0,0,0
"177","25-50","0-43.75",1,5,1,1,0,0,0
"178","25-50","0-43.75",1,5,2,1,0,0,0
"179","25-50","0-43.75",1,6,1,1,0,0,0
"180","25-50","0-43.75",1,6,2,0.997245179063361,0.00275482093663912,0,0
"181","25-50","0-43.75",1,7,1,0.997214484679666,0.00278551532033426,0,0
"182","25-50","0-43.75",1,7,2,0.997252747252747,0.00274725274725275,0,0
"183","25-50","0-43.75",2,1,1,0.981283422459893,0.018716577540107,0,0
"184","25-50","0-43.75",2,1,2,0.976377952755906,0.0236220472440945,0,0
"185","25-50","0-43.75",2,2,1,0.975741239892183,0.0242587601078167,0,0
"186","25-50","0-43.75",2,2,2,0.997150997150997,0.00284900284900285,0,0
"187","25-50","0-43.75",2,3,1,0.983827493261456,0.0161725067385445,0,0
"188","25-50","0-43.75",2,3,2,0.986666666666667,0.0133333333333333,0,0
"189","25-50","0-43.75",2,4,1,1,0,0,0
"190","25-50","0-43.75",2,4,2,0.976811594202899,0.0231884057971014,0,0
"191","25-50","0-43.75",2,5,1,0.997275204359673,0.00272479564032698,0,0
"192","25-50","0-43.75",2,5,2,0.986111111111111,0.0138888888888889,0,0
"193","25-50","0-43.75",2,6,1,1,0,0,0
"194","25-50","0-43.75",2,6,2,0.982233502538071,0.0177664974619289,0,0
"195","25-50","0-43.75",2,7,1,0.991202346041056,0.00879765395894428,0,0
"196","25-50","0-43.75",2,7,2,0.979827089337176,0.0201729106628242,0,0
"197","25-50","0-43.75",3,1,1,0.70694087403599,0.29305912596401,0,0
"198","25-50","0-43.75",3,1,2,0.684491978609626,0.315508021390374,0,0
"199","25-50","0-43.75",3,2,1,0.723943661971831,0.276056338028169,0,0
"200","25-50","0-43.75",3,2,2,0.70076726342711,0.29923273657289,0,0
"201","25-50","0-43.75",3,3,1,0.7,0.3,0,0
"202","25-50","0-43.75",3,3,2,0.709770114942529,0.290229885057471,0,0
"203","25-50","0-43.75",3,4,1,0.801724137931034,0.198275862068966,0,0
"204","25-50","0-43.75",3,4,2,0.696808510638298,0.303191489361702,0,0
"205","25-50","0-43.75",3,5,1,0.816,0.184,0,0
"206","25-50","0-43.75",3,5,2,0.7,0.3,0,0
"207","25-50","0-43.75",3,6,1,0.887096774193548,0.112903225806452,0,0
"208","25-50","0-43.75",3,6,2,0.706199460916442,0.293800539083558,0,0
"209","25-50","0-43.75",3,7,1,0.696696696696697,0.303303303303303,0,0
"210","25-50","0-43.75",3,7,2,0.69949494949495,0.30050505050505,0,0
"211","25-50","43.75-87.5",1,1,1,0.998849252013809,0.00115074798619102,0,0
"212","25-50","43.75-87.5",1,1,2,0.998834498834499,0.00116550116550117,0,0
"213","25-50","43.75-87.5",1,2,1,0.998790810157195,0.00120918984280532,0,0
"214","25-50","43.75-87.5",1,2,2,0.998834498834499,0.00116550116550117,0,0
"215","25-50","43.75-87.5",1,3,1,0.997624703087886,0.00237529691211401,0,0
"216","25-50","43.75-87.5",1,3,2,1,0,0,0
"217","25-50","43.75-87.5",1,4,1,1,0,0,0
"218","25-50","43.75-87.5",1,4,2,0.996462264150943,0.0035377358490566,0,0
"219","25-50","43.75-87.5",1,5,1,1,0,0,0
"220","25-50","43.75-87.5",1,5,2,0.997767857142857,0.00223214285714286,0,0
"221","25-50","43.75-87.5",1,6,1,1,0,0,0
"222","25-50","43.75-87.5",1,6,2,1,0,0,0
"223","25-50","43.75-87.5",1,7,1,0.997652582159624,0.00234741784037559,0,0
"224","25-50","43.75-87.5",1,7,2,1,0,0,0
"225","25-50","43.75-87.5",2,1,1,0.980140186915888,0.0198598130841121,0,0
"226","25-50","43.75-87.5",2,1,2,0.982618771726535,0.0173812282734647,0,0
"227","25-50","43.75-87.5",2,2,1,0.985260770975057,0.0147392290249433,0,0
"228","25-50","43.75-87.5",2,2,2,0.98019801980198,0.0198019801980198,0,0
"229","25-50","43.75-87.5",2,3,1,0.986471251409245,0.0135287485907554,0,0
"230","25-50","43.75-87.5",2,3,2,0.990521327014218,0.00947867298578199,0,0
"231","25-50","43.75-87.5",2,4,1,0.990312163616792,0.00968783638320775,0,0
"232","25-50","43.75-87.5",2,4,2,0.994272623138603,0.00572737686139748,0,0
"233","25-50","43.75-87.5",2,5,1,0.996495327102804,0.00350467289719626,0,0
